scenario,time_s,x,y,z,rssi_ap1,rssi_ap2,rssi_ap3,sinr_ap1,sinr_ap2,sinr_ap3
complex_dynamic,0.0,0.0,0.0,1.2,-23.306349042159493,-60.64361406206784,-43.77842965930676,23.141186535369826,-17.144295801778494,6.530141387708827
complex_dynamic,0.0,0.0,0.5,1.2,-32.69868688367458,-75.07617848873399,-42.72289270995671,25.57972427907326,-19.773341357380943,18.61195225870622
complex_dynamic,0.0,0.0,1.0,1.2,-27.8624880566378,-66.11094786837361,-47.580572581745024,23.59800735675241,-17.604683073612456,7.571126200795576
complex_dynamic,0.0,0.0,1.5,1.2,-31.140601479483543,-53.340706617960805,-68.56335649691714,15.4399553005689,-9.423078132308266,-9.306675618138527
complex_dynamic,0.0,0.0,2.0,1.2,-24.52525285935359,-62.26394713340781,-53.17805146064896,23.352180866667958,-17.33728106511624,0.4707455789750511
complex_dynamic,0.0,0.0,2.5,1.2,-22.395123095994197,-79.11655951242113,-47.27678433181049,32.86842405401308,-26.856000287738002,11.304398527380528
complex_dynamic,0.0,0.0,3.0,1.2,-32.410558069721986,-76.44416260498637,-41.28635059839992,26.380053587688717,-20.635111951999093,20.54136330141924
complex_dynamic,0.0,0.0,3.5,1.2,-44.74317886748896,-55.75002241287823,-38.08833152374687,7.521093339610329,-6.286143085922699,16.57293926821498
complex_dynamic,0.0,0.0,4.0,1.2,-42.2369042172146,-61.95922136811441,-41.84052093043246,13.295167033950431,-9.135562218642004,16.59655360228182
complex_dynamic,0.0,0.0,4.5,1.2,-41.56749724060867,-48.18209976177371,-40.09492336578223,6.233878775425367,-2.3117475289955056,10.186676088067795
complex_dynamic,0.0,0.0,5.0,1.2,-49.005224295858476,-56.89748491611829,-43.01306774820785,6.134453420904485,-4.35763879766698,14.346693997808371
complex_dynamic,0.0,0.0,5.5,1.2,-37.69810419597564,-55.536456521451875,-44.57813930780166,12.952708536995228,-7.381481491850589,9.345738037142215
complex_dynamic,0.0,0.0,6.0,1.2,-44.3566217807558,-65.87099657574251,-48.63864572236824,14.735324357648828,-9.466273479479607,13.507983372105187
complex_dynamic,0.0,0.0,6.5,1.2,-47.68480948700733,-42.12281248889032,-48.77839161191704,-0.45229308335733803,5.213889168780166,0.8349086658141619
complex_dynamic,0.0,0.0,7.0,1.2,-45.346453856402775,-44.42023539660245,-34.43489686847746,0.8735738019139552,-1.4677658332870855,12.44073999221418
complex_dynamic,0.0,0.0,7.5,1.2,-52.40118766636291,-69.7012839316838,-36.05065100701829,7.063033189926452,-13.850133420141159,25.654866207323717
complex_dynamic,0.0,0.0,8.0,1.2,-50.30501501545321,-48.881639077255436,-35.867846219518505,-0.09895895041092514,-2.972153566454347,14.441824815684747
complex_dynamic,0.0,0.0,8.5,1.2,-51.517990727267986,-57.939815978536366,-40.77453405387933,4.224588879985432,-5.527230548027093,16.677680480160756
complex_dynamic,0.0,0.0,9.0,1.2,-40.25381528766219,-70.50564189840279,-35.78556889106027,17.733054427891222,-15.479257621092815,25.15115338545602
complex_dynamic,0.0,0.0,9.5,1.2,-41.95583795243319,-80.70627202053241,-29.58777102130994,19.010562107350392,-22.779280423364575,34.334124065144096
complex_dynamic,0.0,0.0,10.0,1.2,-42.94432677706386,-61.0107263814014,-29.90583590893917,8.727045731878938,-12.666876574333067,24.24558080018127
complex_dynamic,0.0,0.5,0.0,1.2,-26.815000772795944,-50.92913889064809,-50.14175030416449,16.422213725007392,-10.422923609987382,-0.646575375389262
complex_dynamic,0.0,0.5,0.5,1.2,-32.663771845159545,-57.49856682485745,-45.25105553032082,16.73938273303365,-10.85372172102053,7.745747597556948
complex_dynamic,0.0,0.5,1.0,1.2,-31.20989407535395,-54.3357626588695,-62.115274603744226,15.917956596510423,-9.905269538579393,-5.504939524080823
complex_dynamic,0.0,0.5,1.5,1.2,-22.263932167985512,-58.280027910989716,-53.55599050358432,22.48522384529416,-16.468713436475756,-1.811353946870886
complex_dynamic,0.0,0.5,2.0,1.2,-34.77826660991257,-70.11887986423648,-49.42435065392942,22.106594233283023,-16.16636170441461,10.790843635378186
complex_dynamic,0.0,0.5,2.5,1.2,-36.78429128335727,-53.07347665418162,-40.98402913524856,11.991774388776978,-6.7392241012289205,10.87710344956411
complex_dynamic,0.0,0.5,3.0,1.2,-36.164762771491965,-46.64423948577556,-48.85538474726906,9.075651683484017,-3.232570309877065,1.298191897872775
complex_dynamic,0.0,0.5,3.5,1.2,-34.112960203829246,-62.64916034160438,-47.74950713145226,18.64764442608252,-12.731851836269746,8.531966733577125
complex_dynamic,0.0,0.5,4.0,1.2,-38.63303139953642,-55.2549922291294,-46.76650429054397,12.34967910847609,-6.6837958727881555,7.666578083902028
complex_dynamic,0.0,0.5,4.5,1.2,-48.096211726996295,-60.816870567116474,-50.33276758986544,9.931459377132793,-5.033372320842161,10.643130193548178
complex_dynamic,0.0,0.5,5.0,1.2,-41.505160400090894,-54.847601781214635,-57.16844996966813,10.688417791020584,-4.7700430581651245,0.46382615446285347
complex_dynamic,0.0,0.5,5.5,1.2,-43.85592900568342,-63.90675128372856,-45.51026099416936,13.739086898150106,-8.984133780360787,15.04795872757561
complex_dynamic,0.0,0.5,6.0,1.2,-44.512975611073564,-52.73015047921196,-42.60937570681332,7.039761665271654,-3.3066442726487217,11.46905796620093
complex_dynamic,0.0,0.5,6.5,1.2,-46.03793740477668,-55.102494719459415,-37.7512037377633,6.139881671653935,-5.883310110745512,16.5855071010026
complex_dynamic,0.0,0.5,7.0,1.2,-45.79720639791702,-58.34202493833786,-38.5080171529033,8.102378286896151,-7.342409242938687,17.847183645824327
complex_dynamic,0.0,0.5,7.5,1.2,-49.61316391576534,-66.6193167949092,-42.05177245075246,10.199905514133045,-9.776285596850329,20.413305357808106
complex_dynamic,0.0,0.5,8.0,1.2,-59.96359357526326,-65.83273817831878,-35.90104262806241,-0.16440908646695881,-11.861835998462336,23.832668801359112
complex_dynamic,0.0,0.5,8.5,1.2,-52.68860658156675,-61.75967502120803,-42.89079804346854,5.711207781431832,-6.529919787277166,17.56122683255879
complex_dynamic,0.0,0.5,9.0,1.2,-41.27711598119077,-76.0742120957759,-41.25061073433303,21.00067393826455,-16.747164239911264,24.01728124983437
complex_dynamic,0.0,0.5,9.5,1.2,-39.09484696999302,-60.23954819505415,-30.468664318586352,11.864974910736796,-12.316070118734736,23.247910964279118
complex_dynamic,0.0,0.5,10.0,1.2,-49.95257914698092,-74.00404941521471,-46.594653029255895,14.905980973939188,-12.02424983179596,21.163908183489276
complex_dynamic,0.0,1.0,0.0,1.2,-14.633125003292236,-63.45583171814926,-51.02658602439491,28.917875549645352,-22.89843416754516,-0.9562493980529125
complex_dynamic,0.0,1.0,0.5,1.2,-23.214565193852547,-69.58219299691369,-57.865753400509085,27.687198702144357,-21.6684222552017,-0.6266321082008626
complex_dynamic,0.0,1.0,1.0,1.2,-20.011665462291084,-57.02214087791116,-60.15912712628908,22.987739132342856,-16.96835237314724,-6.661514567513543
complex_dynamic,0.0,1.0,1.5,1.2,-22.36830640830127,-117.74302792171558,-58.26735770461235,52.15101180314173,-46.1824545285599,19.261353313437674
complex_dynamic,0.0,1.0,2.0,1.2,-44.47798255850161,-49.026020207731065,-48.33790376847261,5.4790172300796955,-0.29854711157934866,4.790769537425912
complex_dynamic,0.0,1.0,2.5,1.2,-35.019764882211284,-50.41826647148993,-43.86783013810078,11.713595057576502,-6.006456952434353,6.474501678948835
complex_dynamic,0.0,1.0,3.0,1.2,-36.706724043869954,-66.4938860552401,-63.13511342248172,19.329355429180815,-13.32015627140445,-0.742960761243207
complex_dynamic,0.0,1.0,3.5,1.2,-40.11186974182079,-49.88356433325929,-45.15494480051226,8.495782396245081,-3.1434721373465675,6.725499117554872
complex_dynamic,0.0,1.0,4.0,1.2,-57.983550577384854,-56.983945148844924,-46.922995918851456,0.8103084351786112,-1.4978297425865765,12.49454981681318
complex_dynamic,0.0,1.0,4.5,1.2,-36.59209523550042,-58.29270220891437,-56.27230483891566,15.162816030851626,-9.183287565597906,0.931558856641101
complex_dynamic,0.0,1.0,5.0,1.2,-46.46816070363219,-53.33314784629329,-50.34855605938525,6.804819933003111,-1.6165116152741608,6.070353141464145
complex_dynamic,0.0,1.0,5.5,1.2,-44.40835470927942,-47.238655906173776,-57.97989691610486,4.654289405397711,1.1687545169847398,-2.6510467883173803
complex_dynamic,0.0,1.0,6.0,1.2,-43.22281114076143,-64.34137375761875,-38.18696661553741,12.998546407344831,-11.010884253317268,20.86696458423342
complex_dynamic,0.0,1.0,6.5,1.2,-55.42002621488055,-58.46243757158105,-48.794799900100955,3.5809637572219537,-1.8771887585299643,11.908015389712801
complex_dynamic,0.0,1.0,7.0,1.2,-51.43919120226085,-70.17824403423133,-33.66603970854665,7.120121655264466,-15.271186108245914,27.140694448712175
complex_dynamic,0.0,1.0,7.5,1.2,-41.91544367981881,-57.69841708308457,-36.752116272241615,10.289974301201532,-8.291146406847078,18.14111549571567
complex_dynamic,0.0,1.0,8.0,1.2,-49.79150407992868,-79.39401619380288,-40.0884240668486,15.604811314035686,-17.034538655572618,28.200944097970485
complex_dynamic,0.0,1.0,8.5,1.2,-61.527011828947224,-70.7395728812006,-40.42815306819708,2.0037143391722827,-12.077583716765552,24.00556431781638
complex_dynamic,0.0,1.0,9.0,1.2,-52.956698601011546,-65.10153516376266,-36.328750985066485,4.747542933206569,-11.355150404893168,23.150840850721277
complex_dynamic,0.0,1.0,9.5,1.2,-42.50333819402979,-76.43649873124401,-45.56942951682991,20.96124486592363,-15.902766688530335,20.90191570029949
complex_dynamic,0.0,1.0,10.0,1.2,-48.3139209734864,-67.06125867422942,-40.3557785698538,10.922627274366821,-10.826273100641636,21.582120992790664
complex_dynamic,0.0,1.5,0.0,1.2,-28.35972884912835,-89.76491466297333,-49.357505893993014,35.20321516796826,-29.204262476127326,17.290475943309985
complex_dynamic,0.0,1.5,0.5,1.2,-23.81469714119371,-60.1719198337421,-68.98708316521574,22.65881513850395,-16.63895113488889,-9.53429341925111
complex_dynamic,0.0,1.5,1.0,1.2,-26.595058552688613,-61.358531452436104,-51.94825222302851,21.850074294253268,-15.840115031485213,1.7154229612399632
complex_dynamic,0.0,1.5,1.5,1.2,-25.937909097250145,-66.14634065671723,-50.44610604888473,24.59188850412383,-18.58191469624107,4.418821775918191
complex_dynamic,0.0,1.5,2.0,1.2,-22.15532243604114,-66.48231585713495,-47.736760348325184,26.66097135215225,-20.64829677822879,5.221410996307414
complex_dynamic,0.0,1.5,2.5,1.2,-28.484588665968868,-64.92745968040333,-45.05990454706345,22.67625587719149,-16.708372364003242,9.544899172581093
complex_dynamic,0.0,1.5,3.0,1.2,-32.28010973472126,-65.81269930174156,-38.58028939472667,20.994989862881944,-15.46011525221978,17.742743102087974
complex_dynamic,0.0,1.5,3.5,1.2,-41.87881024905915,-65.89389062903885,-53.74863001029615,16.30584324813121,-10.443463572073252,7.985302468077057
complex_dynamic,0.0,1.5,4.0,1.2,-31.731711900615082,-70.47858043663412,-48.90311020625688,23.839306071436607,-17.864684858562846,10.067384468255495
complex_dynamic,0.0,1.5,4.5,1.2,-44.25648133656644,-75.66944805464024,-53.635568708420095,20.033261628303322,-14.268560715363709,13.794057568307835
complex_dynamic,0.0,1.5,5.0,1.2,-48.11462824063013,-68.23350976050477,-40.53352652276944,11.720703421897651,-11.384840450521674,22.054721145883946
complex_dynamic,0.0,1.5,5.5,1.2,-44.597679434593665,-59.27079445339394,-53.87189249977318,11.331572175187233,-5.6039129174441005,5.777242759564317
complex_dynamic,0.0,1.5,6.0,1.2,-51.754529367366736,-55.93869921056871,-40.976815363006104,3.206860862263751,-4.315709327057429,15.421107740220481
complex_dynamic,0.0,1.5,6.5,1.2,-44.76586625719071,-60.184691603475265,-55.556006219810264,11.764405186643625,-5.963469755163379,4.916844526486646
complex_dynamic,0.0,1.5,7.0,1.2,-51.017717913845544,-62.006781411476766,-44.03765888115684,7.425667668880312,-6.398598149437711,16.783102537875326
complex_dynamic,0.0,1.5,7.5,1.2,-51.7096836164631,-57.694213253899825,-38.83439401323025,3.4126678735668885,-6.297430451097807,17.73955513803058
complex_dynamic,0.0,1.5,8.0,1.2,-42.75478753351187,-52.819987625035225,-39.10702465691996,7.724412061575495,-4.781853539070479,13.878885044675746
complex_dynamic,0.0,1.5,8.5,1.2,-45.69826777120202,-54.41903079714375,-46.38300420294999,7.615612040882795,-3.0663892532083703,9.69028378774942
